Ses01F_impro01_F000,EXCUSE ME,EXCUSE,EXCUSE ME OH,EXCUSE ME AND,OH EXCUSE ME,BUT EXCUSE ME,EXCUSE ME SIR,EXCUSE ME BUT,EXCUSE ME NOW,AND EXCUSE ME
Ses04M_impro04_M004,IT IS JUST LIKE NO JOHNSVILLE I MEAN TO SAY GOD,IT'S JUST LIKE NO JOHNSVILLE I MEAN TO SAY GOD,IT WAS JUST LIKE NO JOHNSVILLE I MEAN TO SAY GOD,IT'S JUST LIKE NO JOHNSVILLE I MEAN TO SAY,IT'S JUST LIKE NO JOHNSVILLE I MANAGED TO SAY,IT'S JUST LIKE NO JOHNSVILLE I MANAGED TO SAY GOD,IT'S JUST LIKE NO JOHNSVILLE ONE MAY SAY GOD,IT'S JUST LIKE NO JOHNSVILLE I MEANT TO SAY GOD,IT'S JUST LIKE NO JOHNSVILLE ONE MANAGED TO SAY GOD,IT'S JUST LIKE NO JOHNSVILLE I MEAN TO SAY GOOD
Ses04M_impro04_M020,FOR I MEAN TO MAKE SENSE DOESN'T IT,WHAT I MEAN TO MAKE SENSE DOESN'T IT,FOR I MEAN TO MAKE SENSE DOESN'T IT ME,WELL I MEAN IT MAKE SENSE DOESN'T IT,FOR I MEAN IT MAKE SENSE DOESN'T IT,WHAT I MEAN TO MAKE SENSE DOESN'T IT ME,WHAT I MEAN IT MAKE SENSE DOESN'T IT,BUT I MEAN TO MAKE SENSE DOESN'T IT,BUT I MEAN IT MAKE SENSE DOESN'T IT,WELL I MEAN TO MAKE SENSE DOESN'T IT
Ses04M_impro04_M021,THAT'S NOT TRUE I TAKE RESPONSIBILITY FOR MY OWN ACTIONS REALLY,THAT'S NOT SURE I TAKE RESPONSIBILITY FOR MY OWN ACTIONS REALLY,THAT'S NOT TRUE I TAKE RESPONSIBILITY FOR MY OWN ACTIONS,IT'S NOT TRUE I TAKE RESPONSIBILITY FOR MY OWN ACTIONS REALLY,THAT'S THAT TRUE I TAKE RESPONSIBILITY FOR MY OWN ACTIONS REALLY,THAT'S NOT TRUE I TOOK RESPONSIBILITY FOR MY OWN ACTIONS REALLY,THAT'S NOT TRUE I TAKE RESPONSIBILITY FOR MY ACTIONS REALLY,I'M NOT SURE I TAKE RESPONSIBILITY FOR MY OWN ACTIONS REALLY,THAT'S NOT TRUE I TAKE RESPONSIBLE FOR MY OWN ACTIONS REALLY,THAT'S HOW TRUE I TAKE RESPONSIBILITY FOR MY OWN ACTIONS REALLY
Ses04M_impro04_M022,YOURS I DON'T,YOURS I DON'T KNOW,YOUR'S I DON'T,YOURS I WON'T,OURS I DON'T,YOURS I DONT,HERS I DON'T,YOURS I CAN'T,YOURS YOU DON'T,YOURS I DON'T THINK
Ses04M_impro05_F000,WHY HOW CAN I HELP YOU,HOW CAN I HELP YOU,AH HOW CAN I HELP YOU,I HOW CAN I HELP YOU,BUT HOW CAN I HELP YOU,AND HOW CAN I HELP YOU,OH HOW CAN I HELP YOU,WHY HOW CAN I HELP,WHY HOW CAN I HELP IT,WHY HOW CAN HE HELP YOU
Ses04M_impro05_F001,HER,AND WHO,AND HER,TO HER,AND HERE,AND THEN,AND HE,THAN HER,HA HA,AND THAT
Ses04M_impro05_F002,I'M SORRY,I'M SORRY NOW,I'M SORRY OH,I'M SORRY THOUGH,I'M SORRY THEN,I'M SORRY ALL,I'M SORRY NO,I'M SORRY WELL,I'M SORRY SIR,I'M SORRY UNCLE
Ses04M_impro05_F003,RIGHT,,WRITE,RIPE,BRIGHT,RIGHTS,WHAT,RI,I,WHERE
Ses04M_impro05_F006,O KATE I FIRST I AM VERY SORRY YOU LOST YOUR BAG,O KATE OH I FIRST I AM VERY SORRY YOU LOST YOUR BAG,O KATE OH MY FIRST I AM VERY SORRY YOU LOST YOUR BAG,O KATY OH I FIRST I AM VERY SORRY YOU LOST YOUR BAG,OH KATE OH I FIRST I AM VERY SORRY YOU LOST YOUR BAG,O KATE I FIRST I'M VERY SORRY YOU LOST YOUR BAG,O K OH I FIRST I AM VERY SORRY YOU LOST YOUR BAG,O KATE OH I FIRST I'M VERY SORRY YOU LOST YOUR BAG,O KATY OH MY FIRST I AM VERY SORRY YOU LOST YOUR BAG,O KAY I FIRST I AM VERY SORRY YOU LOST YOUR BAG
Ses04M_impro05_F007,A BUT ACTUALLY OUR POLICIES OF FIFTY DOLLAR,A BUT ACTUALLY OUR POLICIES A FIFTY DOLLAR,BUT ACTUALLY OUR POLICIES OF FIFTY DOLLAR,BUT ACTUALLY OUR POLICIES A FIFTY DOLLAR,AH BUT ACTUALLY OUR POLICIES OF FIFTY DOLLAR,A BUT ACTUALLY OUR POLICIES OF FIFTY DOLLARS,AH BUT ACTUALLY OUR POLICIES A FIFTY DOLLAR,OH BUT ACTUALLY OUR POLICIES OF FIFTY DOLLAR,A BUT ACTUALLY OUR POLICIES A FIFTY DOLLARS,A BUT ACTUAL OUR POLICIES A FIFTY DOLLAR
Ses04M_impro05_F008,REFINED COVERAGE OF THE BAG THAT WAS LOST ALL YES,REFINED COVERAGE OF THE BAG THAT WAS LOST IN ALL YES,REFINED COVERAGE OF THE BAG THAT WAS LOST AT ALL YES,FIND COVERAGE OF THE BAG THAT WAS LOST IN ALL YES,FIND COVERAGE OF THE BAG THAT WAS LOST AT ALL YES,REFINED COVERAGE OF THE BAG THAT WAS LOST TO ALL YES,WE FIND COVERAGE OF THE BAG THAT WAS LOST ALL YES,WE FIND COVERAGE OF THE BAG THAT WAS LOST IN ALL YES,WE FIND COVERAGE OF THE BAG THAT WAS LOST AT ALL YES,REFINED COVERAGE OF THE BAG THAT WAS LOST IN IT ALL YES
Ses04M_impro05_F009,THAT'S OUR POLICIES SIR,THAT'S OUR POLICIES,THAT'S OUR POLICIES THEN,THAT'S OUR POLICIES TOM,THAT'S OUR POLICIES HOME,THAT'S OUR POLICIES NOW,THAT'S OUR POLICIES TOO,THAT'S OUR POLICIES HERE,THAT'S OUR POLICIES TIME,THAT'S OUR POLICIES ANNE
Ses04M_impro05_F010,MIND I CAN'T DO THAT,MY MIND I CAN'T DO THAT,MINE I CAN'T DO THAT,MY FRIEND I CAN'T DO THAT,I CAN'T DO THAT,MAN I CAN'T DO THAT,WITH MINE I CAN'T DO THAT,MY FRIENDS I CAN'T DO THAT,MY MAN I CAN'T DO THAT,WHY I CAN'T DO THAT
Ses04M_impro05_F013,WE'LL COVER FIFTY,WILL COVER FIFTY,I'LL COVER FIFTY,WE'LL COVER FIFTEEN,WE'LL COVER SIXTY,YOU'LL COVER FIFTY,WE'LL COVER THIRTY,WE'LL COVER EVERYTHING,THEY'LL COVER FIFTY,HE'LL COVER FIFTY
Ses04M_impro05_F017,I'M VERY SORRY I UNDERSTAND YOU UPSET YOU'VE JUST GOT OFF A LONG DELIGHT,I'M VERY SORRY I UNDERSTAND TO UPSET YOU'VE JUST GOT OFF A LONG DELIGHT,I'M VERY SORRY I UNDERSTAND YOUR UPSET YOU'VE JUST GOT OFF A LONG DELIGHT,I'M VERY SORRY I UNDERSTAND YOU UPSET YOU'VE JUST GOT OFF A LONG DELAY,I'M VERY SORRY I UNDERSTAND TO UPSET YOU'VE JUST GOT OFF A LONG DELAY,I'M VERY SORRY I UNDERSTAND YOU UPSET YOU'VE JUST GOT OFF A LONG FLIGHT,I'M VERY SORRY I UNDERSTAND TO UPSET YOU'VE JUST GOT OFF A LONG FLIGHT,I'M VERY SORRY I UNDERSTAND YOU UPSET YOU'VE JUST GOT OFF A LONG TIME,I'M VERY SORRY I UNDERSTAND YOU UPSET YOU'VE JUST GOT OFF A LONG,I'M VERY SORRY I UNDERSTAND TO UPSET YOU'VE JUST GOT OFF A LONG
Ses04M_impro05_F019,I UNDERSTAND THAT I WOULD KNOW IF IT WAS MINE,I UNDERSTAND THAT I WOULD KNOW IF I WAS MINE,I UNDERSTAND THAT I WOULD KNOW IF I WAS MINE UM,I UNDERSTAND THAT I WOULD KNOW IF IT WAS MINE UM,I UNDERSTAND THAT I WOULD KNOW IF IT WAS MINE I,I UNDERSTAND THAT I WOULD KNOW IF I WAS MINE I,I UNDERSTAND THAT I WOULD KNOW IF IT WAS MINE AH,I UNDERSTAND THAT I WOULD KNOW IF I WAS MINE AH,I UNDERSTAND THAT I WOULD KNOW IF IT WAS MINE AM,I UNDERSTAND THAT I WOULD KNOW IF IT WAS MINE M
Ses04M_impro05_F020,BUT IT'S NOT ITS HORSE I UNDERSTAND,BUT IT'S NOT YOURS I UNDERSTAND,BUT IT'S NOT ITS YOURS I UNDERSTAND,BUT IT'S NOT ITS COURSE I UNDERSTAND,IT IS BUT IT'S NOT ITS YOURS I UNDERSTAND,IT IS BUT IT'S NOT ITS HORSE I UNDERSTAND,IT IS BUT IT'S NOT YOURS I UNDERSTAND,BUT IT'S NOT ITS HORRORS I UNDERSTAND,IT IS BUT IT'S NOT ITS COURSE I UNDERSTAND,YES BUT IT'S NOT ITS YOURS I UNDERSTAND
Ses04M_impro05_F036,I UNDERSTAND YOUR FRUSTRATE IF YOU WANT TO,I UNDERSTAND YOUR FRUSTRATE OF WHAT YOU WANTED,I UNDERSTAND YOUR FRUSTRATE YOU WANT TO,I UNDERSTAND YOUR FRUSTRATE YOU WANTED YOU,I UNDERSTAND YOUR FRUSTRATE AND WHAT YOU WANTED,I UNDERSTAND YOUR FRUSTRATE OF WHAT YOU WANT,I UNDERSTAND YOUR FRUSTRATE IF YOU WANT,I UNDERSTAND YOUR FRUSTRATE AND WANTS YOU,I UNDERSTAND YOUR FRUSTRATE OF WHAT HE WANTED,I UNDERSTAND YOUR FRUSTRATE AND WHAT YOU WANT
Ses04M_impro05_F037,I KNOW I UNDERSTAND IT'S ARSENAL RELIEF IT'S PERSONAL TO YOU I GET THAT,I KNOW I UNDERSTAND IT'S ARSENAL LIFE IT'S PERSONAL TO YOU I GET THAT,I KNOW I UNDERSTAND IT'S ARSENAL REEF IT'S PERSONAL TO YOU I GET THAT,I KNOW I UNDERSTAND IT'S ARSENAL LEAF IT'S PERSONAL TO YOU I GET THAT,I KNOW I UNDERSTAND IT'S ARSENAL BRIEF IT'S PERSONAL TO YOU I GET THAT,I KNOW I UNDERSTAND IT'S ARSENAL REALLY IT'S PERSONAL TO YOU I GET THAT,I KNOW I UNDERSTAND IT'S ARSENAL IF IT'S PERSONAL TO YOU I GET THAT,I KNOW I UNDERSTAND IT'S ARSENAL PROOF IT'S PERSONAL TO YOU I GET THAT,I KNOW I UNDERSTAND IT'S ARSENAL LEAVE IT'S PERSONAL TO YOU I GET THAT,I KNOW I UNDERSTAND IT'S ARSENAL LEAGUE IT'S PERSONAL TO YOU I GET THAT
Ses04M_impro05_M008,FIFTY DOLLARS THAT,ABOUT FIFTY DOLLARS THAT,FIFTEEN DOLLARS THAT,FIFTY DOLLARS,NOT FIFTY DOLLARS THAT,ABOUT FIFTY DOLLARS,FOR FIFTY DOLLARS THAT,WORTH FIFTY DOLLARS THAT,NO FIFTY DOLLARS THAT,BUT FIFTY DOLLARS THAT
Ses04M_impro05_M009,FIFTY DOLLARS NO,FIFTY DOLLARS NO WAY NOW,FIFTY DOLLARS NO WEIGHT NOW,FIFTY DOLLARS NO EIGHT NOW,FIFTY DOLLARS NO WAY,FIFTY DOLLARS NOWAY NOW,FIFTY DOLLARS NO WAY NO,FIFTY DOLLARS NO WAIT NOW,FIFTY DOLLARS NO MORE,FIFTY DOLLARS NO PAY NOW
Ses04M_impro05_M010,I DON'T BUT THE THING IS I DON'T CARE ABOUT YOUR POLICY,OH I DON'T BUT THE THING IS I DON'T CARE ABOUT YOUR POLICY,WELL I DON'T BUT THE THING IS I DON'T CARE ABOUT YOUR POLICY,FAITH I DON'T BUT THE THING IS I DON'T CARE ABOUT YOUR POLICY,YOU DON'T BUT THE THING IS I DON'T CARE ABOUT YOUR POLICY,NO I DON'T BUT THE THING IS I DON'T CARE ABOUT YOUR POLICY,I DON'T BUT THE THING IS I DON'T CARE ABOUT YOUR PHILOSOPHY,AND I DON'T BUT THE THING IS I DON'T CARE ABOUT YOUR POLICY,POLLY I DON'T BUT THE THING IS I DON'T CARE ABOUT YOUR POLICY,NOW I DON'T BUT THE THING IS I DON'T CARE ABOUT YOUR POLICY
Ses04M_impro05_M011,YOU UNDERSTAND AH HA,YOU UNDERSTAND AH,YOU UNDERSTAND AHA,YOU UNDERSTAND,YOU UNDERSTAND OH,YOU UNDERSTAND HA HA,YOU UNDERSTAND AH AH,YOU UNDERSTAND THAT,YOU UNDERSTAND A HA,YOU UNDERSTAND WELL
Ses04M_impro05_M014,NO BECAUSE IT LOOKS I DON'T CARE WHAT YOUR POLICY SAYS I MEAN,NO BECAUSE IT WILL I DON'T CARE WHAT YOUR POLICY SAYS I MEAN,NO BECAUSE LOOK I DON'T CARE WHAT YOUR POLICY SAYS I MEAN,NO BECAUSE IT LOOKED I DON'T CARE WHAT YOUR POLICY SAYS I MEAN,NO BECAUSE IT LOOK I DON'T CARE WHAT YOUR POLICY SAYS I MEAN,NO BECAUSE IT WAS I DON'T CARE WHAT YOUR POLICY SAYS I MEAN,NO BECAUSE IT WOULD I DON'T CARE WHAT YOUR POLICY SAYS I MEAN,NO BECAUSE IT IS I DON'T CARE WHAT YOUR POLICY SAYS I MEAN,OH BECAUSE IT LOOKS I DON'T CARE WHAT YOUR POLICY SAYS I MEAN,OH BECAUSE IT LOOK I DON'T CARE WHAT YOUR POLICY SAYS I MEAN
Ses04M_impro05_M015,YOU UNDERSTAND THAT THE CONTENTS OF MY BAG THE CONTENTS OF MY BAG COST A HUNDRED FIFTY DOLLARS,YOU UNDERSTAND THAT THE CONTENTS OF MY BAG THE CONTENTS OF MY BAG COST A HUNDRED AND FIFTY DOLLARS,YOU UNDERSTAND THE CONTENTS OF MY BAG THE CONTENTS OF MY BAG COST A HUNDRED FIFTY DOLLARS,YOU UNDERSTAND THE CONTENTS OF MY BAG THE CONTENTS OF MY BAG COST A HUNDRED AND FIFTY DOLLARS,YOU UNDERSTAND THAT THE CONTENTS OF MY BAG THE CONTENTS OF MY BAG COST ONE HUNDRED FIFTY DOLLARS,YOU UNDERSTAND THE CONTENTS OF MY BAG THE CONTENTS OF MY BAG COST ONE HUNDRED FIFTY DOLLARS,YOU UNDERSTAND THAT THE CONTENTS OF MY BAG THE CONTENTS OF MY BAG COST ONE HUNDRED AND FIFTY DOLLARS,YOU UNDERSTAND THE CONTENTS OF MY BAG THE CONTENTS OF MY BAG COST ONE HUNDRED AND FIFTY DOLLARS,YOU UNDERSTAND THAT THE CONTENTS OF MY BAG THE CONTENTS OF MY BAG COST TWO HUNDRED FIFTY DOLLARS,YOU UNDERSTAND THAT THE CONTENTS OF MY BAG THE CONTENTS OF MY BAG COST HUNDRED FIFTY DOLLARS
Ses04M_impro05_M016,YOU,,YOU YOU,YOU ARE,YOU HAVE,YOU I,YOU WILL,YOU WHO,YOU AND,YOU WERE
Ses04M_impro05_M017,NO NO NOW WAIT ON EACH OTHER I NEED TO WRITE CHEQUES FOR I NEED DIRECT THREE OF THEM THAT'LL BE SATISFACTORY,NO NO NOW WAIT ON YOURSELF I NEED YOU TO WRITE CHEQUES FOR I NEED DIRECT THREE OF THEM THAT'LL BE SATISFACTORY,NO NO NOW WAIT ON EASY I NEED YOU TO WRITE CHEQUES FOR I NEED DIRECT THREE OF THEM THAT'LL BE SATISFACTORY,NO NO NOW WAIT ON EASY AND I NEED TO WRITE CHEQUES FOR I NEED DIRECT THREE OF THEM THAT'LL BE SATISFACTORY,NO NO NOW WAIT AN EASY TIME I NEED TO WRITE CHEQUES FOR I NEED DIRECT THREE OF THEM THAT'LL BE SATISFACTORY,NO NO NOW WAIT ON EACH I NEED YOU TO WRITE CHEQUES FOR I NEED DIRECT THREE OF THEM THAT'LL BE SATISFACTORY,NO NO NOW WAIT ON EASY OR I NEED TO WRITE CHEQUES FOR I NEED DIRECT THREE OF THEM THAT'LL BE SATISFACTORY,NO NO NOW WAIT ON EACH OTHER I NEED TO WRITE CHEQUES FOR I NEED DIRECT THREE OF THEM THAT WILL BE SATISFACTORY,NO NO NOW WAIT AN EASY TILL I NEED YOU TO WRITE CHEQUES FOR I NEED DIRECT THREE OF THEM THAT'LL BE SATISFACTORY,NO NO NOW WAIT ON YOU SEE I NEED YOU TO WRITE CHEQUES FOR I NEED DIRECT THREE OF THEM THAT'LL BE SATISFACTORY
Ses04M_impro05_M018,JUST AS YOU CAN FILL OUT THE FORM WE CAN FLY UNDER AND WE CAN FEEL THE FORM THREE TIMES,JUST AS YOU CAN FILL UP THE FORM WE CAN FLY UNDER AND WE CAN FEEL THE FORM THREE TIMES,JUST AS YOU CAN FILL UP THE FORM WE CAN FIND ANOTHER AND WE CAN FEEL THE FORM THREE TIMES,JUST AS YOU CAN FILL OUT THE FORM WE CAN FLY IN UNDER AND WE CAN FEEL THE FORM THREE TIMES,JUST AS YOU CAN FILL UP THE FORM WE CAN FLY IN UNDER AND WE CAN FEEL THE FORM THREE TIMES,JUST AS YOU CAN FILL OUT THE FORM WE CAN FIND ON IT AND WE CAN FEEL THE FORM THREE TIMES,JUST AS YOU CAN FILL OUT THE FORM WE CAN FALL IN UNDER AND WE CAN FEEL THE FORM THREE TIMES,JUST IF YOU CAN FILL OUT THE FORM WE CAN FLY IN UNDER AND WE CAN FEEL THE FORM THREE TIMES,JUST IF YOU CAN FILL UP THE FORM WE CAN FLY IN UNDER AND WE CAN FEEL THE FORM THREE TIMES,JUST AS YOU CAN FILL OUT THE FORM WE CAN FIND IT ON AND WE CAN FEEL THE FORM THREE TIMES
Ses04M_impro05_M022,YES IF IT WAS YOURS BUT IT'S NOT IT'S MINE I SAY SO JUST,YES IF IT WAS YOURS BUT IT'S NOT IT'S MINE I SAID JUST,YES IF IT WAS YOURS BUT IT'S NOT IT'S MINE I SAY SO,YES IF IT WAS YOURS BUT IT'S NOT IT'S MINE A CASE SO JUST,YES IF IT WAS YOURS BUT IT'S NOT IT'S MINE A FACE SO JUST,YES IF IT WAS YOURS BUT IT'S NOT IT'S MINE I AM SO JUST,YES IF IT WAS YOURS BUT IT'S NOT IT'S MINE I SAY SIR JUST,YES IF IT WAS YOURS BUT IT'S NOT IT'S MINE ARE THEY SO JUST,YES IF IT WAS YOURS BUT IT'S NOT IT'S MINE ARE YOU SO JUST,YET IF IT WAS YOURS BUT IT'S NOT IT'S MINE I SAY SO JUST
Ses04M_impro05_M026,BUT I NEED TO SPEAK TO SOMEBODY WHO CAN MAKE THE THREE CHECK THING HAPPEN,BUT I NEED TO SPEAK TO SOMEBODY WHO CAN MAKE THE THREE ACT THING HAPPEN,BUT I NEED TO SPEAK TO SOMEBODY WHO CAN MAKE THE THREE CHECK THINGS HAPPEN,BUT I NEED TO SPEAK TO SOMEBODY WHO CAN MAKE THE THREE CENT THING HAPPEN,BUT I MEAN TO SPEAK TO SOMEBODY WHO CAN MAKE THE THREE CHECK THING HAPPEN,BUT I WANT TO SPEAK TO SOMEBODY WHO CAN MAKE THE THREE CHECK THING HAPPEN,BUT I NEED TO SPEAK TO SOMEBODY WHO CAN MAKE THE THREE SECOND THING HAPPEN,BUT I NEED TO SPEAK TO SOMEBODY WHO CAN MAKE A THREE CHECK THING HAPPEN,BUT I NEED TO SPEAK TO SOMEBODY WHO CAN'T MAKE THE THREE CHECK THING HAPPEN,BUT I NEED TO SPEAK TO SOMEBODY WHO CAN MAKE THE THREE CHECKED THING HAPPEN
Ses04M_impro05_M038,THE POLICE SAID THAT,THE QUEEN SAID THAT,THE PLEASE SAID THAT,THE LADY SAID THAT,THE PRIEST SAID THAT,THE POLICE SET THAT,THE POLICE SENT THAT,THE PLACE SAID THAT,THE THIEVES SAID THAT,THE LEAST SAID THAT
Ses04M_impro05_M039,AND I'M ALREADY CAUGHT I'M COLD EH I'M CALM,AND I'M ALREADY CAUGHT LOOK AT I'M CALM ET I'M CALM,AND I'M ALREADY CAUGHT I'M CALLED EH I'M CALM,AND I'M ALREADY CAUGHT LOOK AT I'M CALM EH I'M CALM,AND I'M ALREADY CAUGHT I'M CAUGHT I'M CAUGHT,AND I'M READY CAUGHT LOOK ET I'M CALM ET I'M CALM,AND I'M ALREADY CAUGHT I'M CALLED ET I'M CALM,AND I'M ALREADY CAUGHT LOOK AT I'M CALM HEY I'M CALM,AND I'M ALREADY CAUGHT I'M CALLED EH I'M COME,AND I'M ALREADY CAUGHT LOOK AT I'M CALM HET I'M CALM
Ses04M_impro05_M044,YEAH IF YOU ARE REALLY SORRY YOU GIVE ME THE THREE CHEQUES,YEAH IF YOU ARE REALLY SORRY YOU'D GIVE ME THE THREE CHEQUES,YEAH IF YOU WERE REALLY SORRY YOU'D GIVE ME THE THREE CHEQUES,YEAH IF YOU ARE REALLY SORRY YOU'LL GIVE ME THE THREE CHEQUES,YEAH IF YOU ARE REALLY SORRY YOU GIVE ME THE THREE CHECKS,YES IF YOU WERE REALLY SORRY YOU'D GIVE ME THE THREE CHEQUES,YEAH IF YOU ARE REALLY SORRY YOU'D GIVE ME THE THREE CHECKS,YEAH IF YOU WERE REALLY SORRY YOU'D GIVE ME THE THREE CHECKS,YEAH IF YOU ARE REALLY SURE YOU'D GIVE ME THE THREE CHEQUES,YEAH IF YOU WERE REALLY SO YOU'D GIVE ME THE THREE CHEQUES
Ses04M_impro05_M045,SO WHY DON'T WE JUST DO THAT AND STOP THIS NONSENSE,SO WHY WILL WE JUST DO THAT AND STOP THIS NONSENSE,SO WHY DON'T YOU JUST DO THAT AND STOP THIS NONSENSE,SO WON'T WE JUST DO THAT AND STOP THIS NONSENSE,SO WHY DON'T WE JUST DO THAT AND STOP THIS NONSENSE M,WHY DON'T WE JUST DO THAT AND STOP THIS NONSENSE,SO WHY DON'T WE JUST DO THAT AND STOP THIS NONSENSE M M,SO WHY WON'T WE JUST DO THAT AND STOP THIS NONSENSE,SO WHY CAN'T WE JUST DO THAT AND STOP THIS NONSENSE,SO WHY DON'T WE DO THAT AND STOP THIS NONSENSE
Ses04M_impro06_F000,HE HOW ARE YOU DOING,HE ARE YOU DOING,HOW ARE YOU DOING,HE HOW YOU DOIN,ARE YOU DOING,WHO ARE YOU DOING,WHAT ARE YOU DOING,HOW YOU DOIN,HEY HOW YOU DOIN,HE HOW HE DOIN
Ses04M_impro06_F001,SORRY,I'M SORRY,I AM SORRY,AND SORRY,SO SORRY,BUT SORRY,VERY SORRY,NOT SORRY,WAS SORRY,I M SORRY
Ses04M_impro06_F002,I KNOW I KNOW THERE'S SOMETHING I CAN SAY THAT WILL REALLY HELP GOOD,I KNOW I KNOW THERE'S SOMETHING I CAN SAY THAT WILL REALLY HELP,I KNOW I KNOW THERE'S SOMETHING I CAN SAY THAT WILL REALLY HELP IT,I KNOW I KNOW THERE'S SOMETHING I CAN SAY THAT WILL REALLY HELP BUT,I KNOW I KNOW THERE'S SOMETHING I CAN SAY THAT WILL REALLY HELP GOD,I KNOW YOU KNOW THERE'S SOMETHING I CAN SAY THAT WILL REALLY HELP GOOD,I KNOW I KNOW THERE'S SOMETHING I CAN SAY THAT WILL REALLY HELP THAT,I KNOW I KNOW THERE'S SOMETHING I CAN SAY THAT WILL REALLY HELP PUT,I KNOW I KNOW THERE'S SOMETHING I CAN SAY THAT WILL REALLY HELP DICK,I KNOW I KNOW THERE'S SOMETHING I CAN SAY THAT WILL REALLY HELP PEOPLE
Ses04M_impro06_F003,I AM SORRY IT'S NEVER EASY,I'M SORRY IT'S NEVER EASY,AND I AM SORRY IT'S NEVER EASY,AND I'M SORRY IT'S NEVER EASY,OH I AM SORRY IT'S NEVER EASY,I KNOW I AM SORRY IT'S NEVER EASY,I AM SORRY IT'S NOT EASY,I M SORRY IT'S NEVER EASY,I I AM SORRY IT'S NEVER EASY,I KNOW I'M SORRY IT'S NEVER EASY
Ses04M_impro06_F004,BUT I'M HERE IF THERE'S ANYTHING YOU NEED I MEAN YOU JUST HAVE TO ASK I KNOW,BUT I'M HERE IF THERE'S ANYTHING YOU NEED I MEAN YOU'D JUST HAVE TO ASK I KNOW,BUT I'M SURE IF THERE'S ANYTHING YOU NEED I MEAN YOU JUST HAVE TO ASK I KNOW,BUT I'M HERE IF THERE'S ANYTHING YOU NEED I MEAN YOU HAVE TO ASK I KNOW,I'M HERE IF THERE'S ANYTHING YOU NEED I MEAN YOU JUST HAVE TO ASK I KNOW,BUT I'M SURE IF THERE'S ANYTHING YOU NEED I MEAN YOU'D JUST HAVE TO ASK I KNOW,BUT I'M HERE IF THERE'S ANYTHING YOU NEED I MEAN YOU'LL JUST HAVE TO ASK I KNOW,BUT I'M HERE IF THERE'S ANYTHING YOU WANT I MEAN YOU JUST HAVE TO ASK I KNOW,BUT I'M HERE IF THERE'S ANYTHING YOU NEED I MEAN YOU JUST HAVE TO ASK YOU KNOW,BUT I'M HERE IF THERE'S ANYTHING YOU NEED I MEAN YOU JUST HAD TO ASK I KNOW
Ses04M_impro06_F005,IT DOESN'T REALLY DO ANYTHING BUT,I DOESN'T REALLY DO ANYTHING BUT,DOESN'T REALLY DO ANYTHING BUT,I DON'T REALLY DO ANYTHING BUT,I DIDN'T REALLY DO ANYTHING BUT,DON'T REALLY DO ANYTHING BUT,IT DOESN'T REALLY DO ANYTHING,HE DOESN'T REALLY DO ANYTHING BUT,DIDN'T REALLY DO ANYTHING BUT,IT DIDN'T REALLY DO ANYTHING BUT
Ses04M_impro06_F006,NO IT NEVER IS,YOU KNOW IT NEVER IS,NOW IT NEVER IS,KNOW IT NEVER IS,NO IT NEVER WAS,I KNOW IT NEVER IS,OH NO IT NEVER IS,NO AND NEVER IS,NO NO IT NEVER IS,NO THAT NEVER IS
Ses04M_impro06_F007,HOW'S UM HOW'S HIS PARENTS DOING,HOW'S ON HOW'S HIS PARENTS DOING,HOW'S UN HOW'S HIS PARENTS DOING,HOW'S UM HOW IS HIS PARENTS DOING,HOW'S M HOW'S HIS PARENTS DOING,HOW'S ON HOW IS HIS PARENTS DOING,HOW'S EM HOW'S HIS PARENTS DOING,HOW'S AN HOW'S HIS PARENTS DOING,HOW'S UM HOW WAS HIS PARENTS DOING,HOW IS UM HOW'S HIS PARENTS DOING
Ses04M_impro06_F008,I MEAN WHAT I WANT TO DO WITH YOU AND I WANT TO TALK ABOUT IT TOO,I MEAN WHAT WOULD HE WANT TO DO WITH YOU AND I WANT TO TALK ABOUT IT TOO,I MEAN WHAT WOULD HE WANT TO DO AS YOU AND I WANT TO TALK ABOUT IT TOO,I MEAN WHAT I WANT TO DO AS YOU AND I WANT TO TALK ABOUT IT TOO,I MEAN WHAT WOULD HE WANT TO DO WITH YOU AND I TO WANT TO TALK ABOUT IT TOO,I MEAN WHAT I WANT TO DO WITH YOU AND I DO WANT TO TALK ABOUT IT TOO,I MEAN WHAT WOULD HE WANT TO DO WITH YOU AND I YOU WANT TO TALK ABOUT IT TOO,I MEAN WHAT WOULD YOU WANT TO DO AS YOU AND I WANT TO TALK ABOUT IT TOO,I MEAN WHAT WOULD I WANT TO DO WITH YOU AND I WANT TO TALK ABOUT IT TOO,I MEAN WHAT WOULD HE WANT TO DO WITH YOU AND I DO WANT TO TALK ABOUT IT TOO
